%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
93.0, 126.89667544653639, 190.49367419304326, 75.48427075566724, 58.66594065492973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542514815E9, 0.0, 2024-02-22 13:15:42.514
93.0, 267.12422428512946, 238.78326242091134, 124.65647537307814, 157.80320868035778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542514815E9, 0.0, 2024-02-22 13:15:42.514
0.0, 163.8524968586862, 133.04320102371275, 125.55592131242156, 171.86149261379614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542537873E9, 0.0, 2024-02-22 13:15:42.537
1.0, 77.29064243426546, 129.83623681170866, 276.11681372858584, 155.4826007578522, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542550039E9, 0.0, 2024-02-22 13:15:42.550
1.0, 287.8451399896294, 315.6999148596078, 482.49010313348845, 11.429134264588356, 0.0, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542550039E9, 0.0, 2024-02-22 13:15:42.550
2.0, 456.4847087915987, 414.85962228477, 606.430387665052, 207.7664021383971, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542568788E9, 0.0, 2024-02-22 13:15:42.568
2.0, 645.5628308514133, 175.37699857214466, 826.5608990569599, 247.51779876742512, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542568788E9, 0.0, 2024-02-22 13:15:42.568
3.0, 880.5650544171222, -44.01675252849236, 916.1371128456667, 380.6376677402295, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70863654257391E9, 0.0, 2024-02-22 13:15:42.573
3.0, 978.8664548024535, -40.94068481493741, 755.1119803534821, 376.96134608378634, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70863654257391E9, 0.0, 2024-02-22 13:15:42.573
4.0, 776.4013608512469, -225.8319888743572, 556.5737813557498, 535.3872481067665, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542580782E9, 0.0, 2024-02-22 13:15:42.580
4.0, 591.740060639102, -340.27666741842404, 413.57122675003484, 323.8435470131226, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542580782E9, 0.0, 2024-02-22 13:15:42.580
5.0, 378.1917731692083, -121.33357426244766, 182.09759879251942, 274.1215771022253, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542593379E9, 0.0, 2024-02-22 13:15:42.593
5.0, 139.79372044373304, 95.98079246282578, 94.61198907904327, 146.09171196911484, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542593379E9, 0.0, 2024-02-22 13:15:42.593
6.0, 38.90804918901995, 72.80650238739327, 233.71756793092936, 125.13144266745076, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542596809E9, 0.0, 2024-02-22 13:15:42.596
6.0, 221.77980727236718, 234.71238131914288, 421.7092490536161, -36.275159620214254, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542596809E9, 0.0, 2024-02-22 13:15:42.596
7.0, 397.7869789870456, 347.7583372797817, 558.6569056310691, 169.86438603745773, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542607532E9, 0.0, 2024-02-22 13:15:42.607
7.0, 597.348040622659, 109.15085015678778, 774.7932038703002, 199.39463608758524, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542607532E9, 0.0, 2024-02-22 13:15:42.607
8.0, 820.348925230559, -130.2251864071004, 855.6591906622052, 323.4228082681075, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70863654262294E9, 0.0, 2024-02-22 13:15:42.622
8.0, 912.0793213937432, -115.45445153210312, 702.4878480769694, 330.4033315354027, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70863654262294E9, 0.0, 2024-02-22 13:15:42.622
9.0, 705.9117264864035, -298.39726771460846, 507.42401613807306, 488.38792536361143, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542630456E9, 0.0, 2024-02-22 13:15:42.630
9.0, 516.8485640264116, -433.8639239096083, 353.4149359627627, 263.01033433387056, 0.01600000075995922, 0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542630456E9, 0.0, 2024-02-22 13:15:42.630
10.0, 317.78864898486063, -193.13591351173818, 136.381061734166, 228.06844904785976, 0.01600000075995922, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542639476E9, 0.0, 2024-02-22 13:15:42.639
10.0, 83.99441310483962, 35.158799483440816, 60.586379282176495, 112.77668316382915, 0.01600000075995922, 0.06400000303983688, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542639476E9, 0.0, 2024-02-22 13:15:42.639
11.0, -38.02917269943282, -12.504355501849204, 175.99221211485565, 72.78780288761482, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542654803E9, 0.0, 2024-02-22 13:15:42.654
11.0, 151.27895320765674, 159.02802591584623, 377.339075979311, -74.39595986856148, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542654803E9, 0.0, 2024-02-22 13:15:42.654
12.0, 351.40099983662367, 290.96795645263046, 529.036897982005, 144.88559423340484, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542660797E9, 0.0, 2024-02-22 13:15:42.660
12.0, 527.6924039479345, 523.1334659019485, 724.3307337681763, 160.2752825510688, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542660797E9, 0.0, 2024-02-22 13:15:42.660
13.0, 755.8506105947308, 288.30140778422356, 806.4608067451045, 290.38079215958714, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542667797E9, 0.0, 2024-02-22 13:15:42.667
13.0, 872.2157277660444, 346.24180784774944, 688.6726576406509, 317.3174215904437, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.708636542667797E9, 0.0, 2024-02-22 13:15:42.667
14.0, 669.724454515148, 144.65185048617423, 480.33592075901106, 469.14240019163117, 0.01600000075995922, 0.11200000531971455, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70863654268583E9, 0.0, 2024-02-22 13:15:42.685
